xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
1959.5	1960.5	1	year	1960	year	1960	4
1960.5	1961.5	1961 1960	year	1961	year	1960	4
1961.5	1962.5	1962 1960	year	1962	year	1960	4
1962.5	1963.5	1963 1960	year	1963	year	1960	4
1963.5	1964.5	1964 1960	year	1964	year	1960	4
1964.5	1965.5	1965 1960	year	1965	year	1960	4
1965.5	1966.5	1966 1960	year	1966	year	1960	4
1966.5	1967.5	1967 1960	year	1967	year	1960	4
1967.5	1968.5	1968 1960	year	1968	year	1960	4
1968.5	1969.5	1969 1960	year	1969	year	1960	4
1969.5	1970.5	1970 1960	year	1970	year	1960	4
1970.5	1971.5	1971 1960	year	1971	year	1960	4
1971.5	1972.5	1972 1960	year	1972	year	1960	4
1972.5	1973.5	1973 1960	year	1973	year	1960	4
1973.5	1974.5	1974 1960	year	1974	year	1960	4
1974.5	1975.5	1975 1960	year	1975	year	1960	4
1975.5	1976.5	1976 1960	year	1976	year	1960	4
1976.5	1977.5	1977 1960	year	1977	year	1960	4
1977.5	1978.5	1978 1960	year	1978	year	1960	4
1978.5	1979.5	1979 1960	year	1979	year	1960	4
1979.5	1980.5	1980 1960	year	1980	year	1960	4
1980.5	1981.5	1981 1960	year	1981	year	1960	4
1981.5	1982.5	1982 1960	year	1982	year	1960	4
1982.5	1983.5	1983 1960	year	1983	year	1960	4
1983.5	1984.5	1984 1960	year	1984	year	1960	4
1984.5	1985.5	1985 1960	year	1985	year	1960	4
1985.5	1986.5	1986 1960	year	1986	year	1960	4
1986.5	1987.5	1987 1960	year	1987	year	1960	4
1987.5	1988.5	1988 1960	year	1988	year	1960	4
1988.5	1989.5	1989 1960	year	1989	year	1960	4
1989.5	1990.5	1990 1960	year	1990	year	1960	4
1990.5	1991.5	1991 1960	year	1991	year	1960	4
1991.5	1992.5	1992 1960	year	1992	year	1960	4
1992.5	1993.5	1993 1960	year	1993	year	1960	4
1993.5	1994.5	1994 1960	year	1994	year	1960	4
1994.5	1995.5	1995 1960	year	1995	year	1960	4
1995.5	1996.5	1996 1960	year	1996	year	1960	4
1996.5	1997.5	1997 1960	year	1997	year	1960	4
1997.5	1998.5	1998 1960	year	1998	year	1960	4
1998.5	1999.5	1999 1960	year	1999	year	1960	4
1999.5	2000.5	2000 1960	year	2000	year	1960	4
2000.5	2001.5	2001 1960	year	2001	year	1960	4
2001.5	2002.5	2002 1960	year	2002	year	1960	4
2002.5	2003.5	2003 1960	year	2003	year	1960	4
2003.5	2004.5	2004 1960	year	2004	year	1960	4
2004.5	2005.5	2005 1960	year	2005	year	1960	4
2005.5	2006.5	2006 1960	year	2006	year	1960	4
2006.5	2007.5	2007 1960	year	2007	year	1960	4
2007.5	2008.5	2008 1960	year	2008	year	1960	4
2008.5	2009.5	2009 1960	year	2009	year	1960	4
2009.5	2010.5	2010 1960	year	2010	year	1960	4
2010.5	2011.5	2011 1960	year	2011	year	1960	4
1959.5	1960.5	1960 1961	year	1960	year	1961	4
1960.5	1961.5	1	year	1961	year	1961	4
1961.5	1962.5	1962 1961	year	1962	year	1961	4
1962.5	1963.5	1963 1961	year	1963	year	1961	4
1963.5	1964.5	1964 1961	year	1964	year	1961	4
1964.5	1965.5	1965 1961	year	1965	year	1961	4
1965.5	1966.5	1966 1961	year	1966	year	1961	4
1966.5	1967.5	1967 1961	year	1967	year	1961	4
1967.5	1968.5	1968 1961	year	1968	year	1961	4
1968.5	1969.5	1969 1961	year	1969	year	1961	4
1969.5	1970.5	1970 1961	year	1970	year	1961	4
1970.5	1971.5	1971 1961	year	1971	year	1961	4
1971.5	1972.5	1972 1961	year	1972	year	1961	4
1972.5	1973.5	1973 1961	year	1973	year	1961	4
1973.5	1974.5	1974 1961	year	1974	year	1961	4
1974.5	1975.5	1975 1961	year	1975	year	1961	4
1975.5	1976.5	1976 1961	year	1976	year	1961	4
1976.5	1977.5	1977 1961	year	1977	year	1961	4
1977.5	1978.5	1978 1961	year	1978	year	1961	4
1978.5	1979.5	1979 1961	year	1979	year	1961	4
1979.5	1980.5	1980 1961	year	1980	year	1961	4
1980.5	1981.5	1981 1961	year	1981	year	1961	4
1981.5	1982.5	1982 1961	year	1982	year	1961	4
1982.5	1983.5	1983 1961	year	1983	year	1961	4
1983.5	1984.5	1984 1961	year	1984	year	1961	4
1984.5	1985.5	1985 1961	year	1985	year	1961	4
1985.5	1986.5	1986 1961	year	1986	year	1961	4
1986.5	1987.5	1987 1961	year	1987	year	1961	4
1987.5	1988.5	1988 1961	year	1988	year	1961	4
1988.5	1989.5	1989 1961	year	1989	year	1961	4
1989.5	1990.5	1990 1961	year	1990	year	1961	4
