size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
2.16959559491176	#00C094	6.861	56.066243902439	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
3.51581876553371	#A58AFF	7.7	32.5910487804878	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.66002231055828	#C49A00	5.586	65.4376829268293	Albania	Albania	Europe & Central Asia	3	#C49A00
2.71537507279257	#C49A00	4.161	67.5580975609756	Armenia	Armenia	Europe & Central Asia	3	#C49A00
3.13293793506648	#FB61D7	7.425	34.5883170731707	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
4.30017203708776	#53B400	3.068	65.5390731707317	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.31820557230495	#C49A00	2.77	69.9219512195122	Austria	Austria	Europe & Central Asia	3	#C49A00
3.63956618619506	#F8766D	3.146	70.8809756097561	Australia	Australia	East Asia & Pacific	3	#F8766D
2.10054686143738	#53B400	4.059	67.0442926829268	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.03343653913262	#C49A00	5.468	62.4574146341463	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.91704713370657	#C49A00	3.619	62.705756097561	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.22996499322488	#53B400	4.094	66.4747073170732	Barbados	Barbados	Latin America & Caribbean	3	#53B400
5.65724461919466	#A58AFF	6.846	49.9818536585366	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.50231974047948	#C49A00	2.712	70.7551219512195	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.10700265415472	#FB61D7	6.414	37.8664878048781	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.3998437807986	#C49A00	2.19	71.1212195121951	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.20104876664186	#00C094	7.192	57.3574146341464	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
2.8499396952446	#FB61D7	6.801	42.5067073170732	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
2.7872785163335	#FB61D7	6.497	36.7753170731707	Benin	Benin	Sub-Saharan Africa	3	#FB61D7
2.14130620858285	#F8766D	6.227	64.4106097560976	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	3	#F8766D
2.93818753987692	#53B400	6.607	43.903512195122	Bolivia	Bolivia	Latin America & Caribbean	3	#53B400
6.44596802228725	#53B400	5.953	56.2676341463415	Brazil	Brazil	Latin America & Caribbean	3	#53B400
2.16908741978271	#53B400	4.22	64.6497073170732	Bahamas, The	Bahamas, The	Latin America & Caribbean	3	#53B400
2.23612457170334	#A58AFF	6.67	38.1816829268293	Bhutan	Bhutan	South Asia	3	#A58AFF
2.36892673308796	#FB61D7	6.681	51.921756097561	Botswana	Botswana	Sub-Saharan Africa	3	#FB61D7
3.43217804756591	#C49A00	2.31	69.2564390243903	Belarus	Belarus	Europe & Central Asia	3	#C49A00
2.14562929684012	#53B400	6.42	62.9436097560976	Belize	Belize	Latin America & Caribbean	3	#53B400
4.15746839132059	#00B6EB	3.456	71.7763414634146	Canada	Canada	North America	3	#00B6EB
4.01768716129233	#FB61D7	6.067	41.918	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	3	#FB61D7
2.62130914102159	#FB61D7	5.925	38.2253658536585	Central African Republic	Central African Republic	Sub-Saharan Africa	3	#FB61D7
2.51761387964452	#FB61D7	6.056	50.9404390243903	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	3	#FB61D7
3.17977156027161	#C49A00	2.852	72.0778048780488	Switzerland	Switzerland	Europe & Central Asia	3	#C49A00
2.98617455820242	#FB61D7	7.639	41.1034146341463	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	3	#FB61D7
3.42634387825086	#53B400	5.185	58.7809512195122	Chile	Chile	Latin America & Caribbean	3	#53B400
3.18600991221155	#FB61D7	5.958	43.2786585365854	Cameroon	Cameroon	Sub-Saharan Africa	3	#FB61D7
14.9744135675232	#F8766D	5.793	48.5743902439025	China	China	East Asia & Pacific	3	#F8766D
4.08343118427738	#53B400	6.661	58.633756097561	Colombia	Colombia	Latin America & Caribbean	3	#53B400
2.60485719705995	#53B400	6.886	63.8366585365854	Costa Rica	Costa Rica	Latin America & Caribbean	3	#53B400
3.36874403097535	#53B400	4.643	66.1755853658537	Cuba	Cuba	Latin America & Caribbean	3	#53B400
2.23033732923944	#FB61D7	6.989	49.5701707317073	Cape Verde	Cape Verde	Sub-Saharan Africa	3	#FB61D7
2.36856719670388	#C49A00	3.249	70.8693902439024	Cyprus	Cyprus	Europe & Central Asia	3	#C49A00
3.53011695780039	#C49A00	2.34	70.459512195122	Czech Republic	Czech Republic	Europe & Central Asia	3	#C49A00
6.26050579117831	#C49A00	2.54	70.3119512195122	Germany	Germany	Europe & Central Asia	3	#C49A00
2.14931843655319	#00C094	7.765	40.4289268292683	Djibouti	Djibouti	Middle East & North Africa	3	#00C094
3.06518641876693	#C49A00	2.602	72.4851219512195	Denmark	Denmark	Europe & Central Asia	3	#C49A00
2.95240710497643	#53B400	7.187	54.6213170731707	Dominican Republic	Dominican Republic	Latin America & Caribbean	3	#53B400
3.73083803625044	#00C094	7.384	49.2308048780488	Algeria	Algeria	Middle East & North Africa	3	#00C094
3.10315844650332	#53B400	6.672	55.3798292682927	Ecuador	Ecuador	Latin America & Caribbean	3	#53B400
2.55152940079038	#C49A00	1.94	69.4392195121951	Estonia	Estonia	Europe & Central Asia	3	#C49A00
4.74358031340676	#00C094	6.475	47.6440731707317	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa	3	#00C094
2.607520852857	#FB61D7	6.785	40.777243902439	Eritrea	Eritrea	Sub-Saharan Africa	3	#FB61D7
4.7596711985118	#C49A00	3.011	70.399756097561	Spain	Spain	Europe & Central Asia	3	#C49A00
4.42430918677299	#FB61D7	6.889	40.7955365853659	Ethiopia	Ethiopia	Sub-Saharan Africa	3	#FB61D7
3.04536730347358	#C49A00	2.533	69.2209756097561	Finland	Finland	Europe & Central Asia	3	#C49A00
2.32395155142594	#F8766D	5.676	57.6333170731707	Fiji	Fiji	East Asia & Pacific	3	#F8766D
2.09236748716053	#F8766D	6.893	59.1795853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific	3	#F8766D
5.44890011881848	#C49A00	2.87	70.6634146341463	France	France	Europe & Central Asia	3	#C49A00
2.34998464319811	#FB61D7	4.311	41.5785365853659	Gabon	Gabon	Sub-Saharan Africa	3	#FB61D7
5.60736843212679	#C49A00	2.934	71.6243902439024	United Kingdom	United Kingdom	Europe & Central Asia	3	#C49A00
2.1379763404527	#53B400	5.906	63.5132195121951	Grenada	Grenada	Latin America & Caribbean	3	#53B400
2.96400299201015	#C49A00	2.864	65.0357073170732	Georgia	Georgia	Europe & Central Asia	3	#C49A00
3.34443316031337	#FB61D7	6.893	47.1062682926829	Ghana	Ghana	Sub-Saharan Africa	3	#FB61D7
2.30243985665656	#FB61D7	5.776	34.5303414634146	Gambia, The	Gambia, The	Sub-Saharan Africa	3	#FB61D7
2.95642526609054	#FB61D7	6.613	32.6901707317073	Guinea	Guinea	Sub-Saharan Africa	3	#FB61D7
2.24531469817991	#FB61D7	5.57	37.9312682926829	Equatorial Guinea	Equatorial Guinea	Sub-Saharan Africa	3	#FB61D7
3.43101665395023	#C49A00	2.312	69.9830243902439	Greece	Greece	Europe & Central Asia	3	#C49A00
3.05248569513018	#53B400	6.434	47.9553902439024	Guatemala	Guatemala	Latin America & Caribbean	3	#53B400
2.11819925724369	#F8766D	5.67	63.186243902439	Guam	Guam	East Asia & Pacific	3	#F8766D
