x	y	label	key	showSelected1	PANEL
5.274	69.4961463414634	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.785	39.8398292682927	Afghanistan	Afghanistan	Afghanistan	3
2	72.2480487804878	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	3
3.942	70.351243902439	Albania	Albania	Albania	3
2.381	70.5352195121951	Armenia	Armenia	Armenia	3
7.203	40.4100487804878	Angola	Angola	Angola	3
3.213	69.9904390243903	Argentina	Argentina	Argentina	3
1.66	72.8970731707317	Austria	Austria	Austria	3
1.929	74.9048780487805	Australia	Australia	Australia	3
2.364	72.6731951219512	Aruba	Aruba	Aruba	3
3.092	64.8307317073171	Azerbaijan	Azerbaijan	Azerbaijan	3
2.017	70.8754878048781	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
1.922	72.5323902439024	Barbados	Barbados	Barbados	3
6.075	56.0801951219512	Bangladesh	Bangladesh	Bangladesh	3
1.614	73.8880487804878	Belgium	Belgium	Belgium	3
7.07	47.1799512195122	Burkina Faso	Burkina Faso	Burkina Faso	3
2.02	71.1860975609756	Bulgaria	Bulgaria	Bulgaria	3
4.692	70.6175121951219	Bahrain	Bahrain	Bahrain	3
6.549	47.5598048780488	Burundi	Burundi	Burundi	3
7.021	45.9059024390244	Benin	Benin	Benin	3
3.992	71.3482926829268	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
5.337	53.5039756097561	Bolivia	Bolivia	Bolivia	3
3.848	63.2879024390244	Brazil	Brazil	Brazil	3
2.989	68.2450975609756	Bahamas, The	Bahamas, The	Bahamas, The	3
6.449	47.5907073170732	Bhutan	Bhutan	Bhutan	3
6.012	61.4692682926829	Botswana	Botswana	Botswana	3
2.05	70.3704878048781	Belarus	Belarus	Belarus	3
5.51	70.7670975609756	Belize	Belize	Belize	3
1.69	75.6804878048781	Canada	Canada	Canada	3
6.693	46.0901951219512	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.956	49.4568292682927	Central African Republic	Central African Republic	Central African Republic	3
6.036	56.6682926829268	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.56	76.0339024390244	Switzerland	Switzerland	Switzerland	3
7.382	52.3520975609756	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
2.65	70.4637804878049	Chile	Chile	Chile	3
6.407	51.9681219512195	Cameroon	Cameroon	Cameroon	3
2.586	67.5349024390244	China	China	China	3
3.744	66.5121951219512	Colombia	Colombia	Colombia	3
3.544	73.5440487804878	Costa Rica	Costa Rica	Costa Rica	3
1.826	73.9392195121951	Cuba	Cuba	Cuba	3
6.174	61.0173170731707	Cape Verde	Cape Verde	Cape Verde	3
2.415	75.131487804878	Cyprus	Cyprus	Cyprus	3
2.02	70.8078048780488	Czech Republic	Czech Republic	Czech Republic	3
1.41	73.3614146341463	Germany	Germany	Germany	3
6.62	48.8978780487805	Djibouti	Djibouti	Djibouti	3
1.427	74.5512195121951	Denmark	Denmark	Denmark	3
3.52	71.4634146341463	Dominica	Dominica	Dominica	3
4.19	63.7797317073171	Dominican Republic	Dominican Republic	Dominican Republic	3
6.58	61.1255609756098	Algeria	Algeria	Algeria	3
4.773	64.1849756097561	Ecuador	Ecuador	Ecuador	3
2.08	69.1268292682927	Estonia	Estonia	Estonia	3
5.251	57.3074146341463	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
6.499	44.0036097560976	Eritrea	Eritrea	Eritrea	3
1.936	76.1341463414634	Spain	Spain	Spain	3
6.912	43.7421463414634	Ethiopia	Ethiopia	Ethiopia	3
1.72	74.2980487804878	Finland	Finland	Finland	3
3.813	63.5786829268293	Fiji	Fiji	Fiji	3
6.02	65.3735853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
1.86	74.5	France	France	France	3
5.195	56.5577073170732	Gabon	Gabon	Gabon	3
1.78	74.1780487804878	United Kingdom	United Kingdom	United Kingdom	3
4.243	65.2791707317073	Grenada	Grenada	Grenada	3
2.284	69.4243658536585	Georgia	Georgia	Georgia	3
6.392	53.6894634146342	Ghana	Ghana	Ghana	3
6.305	49.2307804878049	Gambia, The	Gambia, The	Gambia, The	3
6.951	39.8195609756098	Guinea	Guinea	Guinea	3
5.776	43.5227073170732	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
2.024	74.976	Greece	Greece	Greece	3
6.109	58.1876341463415	Guatemala	Guatemala	Guatemala	3
3.12	69.9755365853659	Guam	Guam	Guam	3
6.542	40.858756097561	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	3
3.301	59.985756097561	Guyana	Guyana	Guyana	3
1.86	75.4292682926829	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	3
6.062	60.9993414634146	Honduras	Honduras	Honduras	3
1.9	70.4826829268293	Croatia	Croatia	Croatia	3
6.154	51.7144146341464	Haiti	Haiti	Haiti	3
1.92	69.3578048780488	Hungary	Hungary	Hungary	3
4.167	58.5840975609756	Indonesia	Indonesia	Indonesia	3
2.957	73.0037804878049	Ireland	Ireland	Ireland	3
3.13	74.109756097561	Israel	Israel	Israel	3
4.518	56.0903658536585	India	India	India	3
6.407	55.8321219512195	Iraq	Iraq	Iraq	3
6.517	50.3404146341463	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	3
2.26	77.0378048780488	Iceland	Iceland	Iceland	3
1.592	74.8146341463415	Italy	Italy	Italy	3
1.434	73.7959268292683	Channel Islands	Channel Islands	Channel Islands	3
3.559	70.854	Jamaica	Jamaica	Jamaica	3
7.098	67.8975121951219	Jordan	Jordan	Jordan	3
1.77	76.9229268292683	Japan	Japan	Japan	3
7.27	58.662512195122	Kenya	Kenya	Kenya	3
4.068	63.6237317073171	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic	3
6.57	45.2767317073171	Cambodia	Cambodia	Cambodia	3
4.5	51.9048780487805	Kiribati	Kiribati	Kiribati	3
7.033	52.7775853658537	Comoros	Comoros	Comoros	3
3.3	63.9512195121951	St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	3
2.797	68.4544390243902	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.	3
2.42	66.7742682926829	Korea, Rep.	Korea, Rep.	Korea, Rep.	3
4.8844	66.1626829268293	Kosovo	Kosovo	Kosovo	3
5.14	71.0304878048781	Kuwait	Kuwait	Kuwait	3
3	66.7878048780488	Kazakhstan	Kazakhstan	Kazakhstan	3
6.345	49.5226829268293	Lao PDR	Lao PDR	Lao PDR	3
3.924	66.9278536585366	Lebanon	Lebanon	Lebanon	3
4.328	69.8558536585366	St. Lucia	St. Lucia	St. Lucia	3
3.222	68.972	Sri Lanka	Sri Lanka	Sri Lanka	3
6.964	43.6984878048781	Liberia	Liberia	Liberia	3
5.491	54.7937073170732	Lesotho	Lesotho	Lesotho	3
1.99	70.8368292682927	Lithuania	Lithuania	Lithuania	3
1.49	72.5257073170732	Luxembourg	Luxembourg	Luxembourg	3
1.97	69.3282926829268	Latvia	Latvia	Latvia	3
7.189	61.9303414634146	Libya	Libya	Libya	3
5.416	59.2085853658537	Morocco	Morocco	Morocco	3
2.546	65.0227073170732	Moldova	Moldova	Moldova	3
2.2	73.9569268292683	Montenegro	Montenegro	Montenegro	3
6.24	48.8771707317073	Madagascar	Madagascar	Madagascar	3
2.347	69.7059268292683	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR	3
7.07	40.6205609756098	Mali	Mali	Mali	3
4.346	55.2640975609756	Myanmar	Myanmar	Myanmar	3
5.867	57.709	Mongolia	Mongolia	Mongolia	3
1.882	73.8723902439024	Macao SAR, China	Macao SAR, China	Macao SAR, China	3
6.315	53.8998292682927	Mauritania	Mauritania	Mauritania	3
1.98	73.398756097561	Malta	Malta	Malta	3
2.412	67.7751707317073	Mauritius	Mauritius	Mauritius	3
7.21	54.7048536585366	Maldives	Maldives	Maldives	3
7.342	45.0775609756098	Malawi	Malawi	Malawi	3
4.333	67.4910975609756	Mexico	Mexico	Mexico	3
3.725	67.9913902439024	Malaysia	Malaysia	Malaysia	3
6.457	42.7990243902439	Mozambique	Mozambique	Mozambique	3
6.259	58.7314878048781	Namibia	Namibia	Namibia	3
3.14	68.3170731707317	New Caledonia	New Caledonia	New Caledonia	3
7.748	39.7782195121951	Niger	Niger	Niger	3
6.768	45.762512195122	Nigeria	Nigeria	Nigeria	3
5.89	59.2408292682927	Nicaragua	Nicaragua	Nicaragua	3
1.495	75.9885365853659	Netherlands	Netherlands	Netherlands	3
1.69	76.0109756097561	Norway	Norway	Norway	3
5.744	49.3022195121951	Nepal	Nepal	Nepal	3
1.95	73.7243902439024	New Zealand	New Zealand	New Zealand	3
8.352	62.8887804878049	Oman	Oman	Oman	3
3.552	70.6083414634146	Panama	Panama	Panama	3
4.729	61.2188292682927	Peru	Peru	Peru	3
3.839	65.93	French Polynesia	French Polynesia	French Polynesia	3
5.515	54.0581219512195	Papua New Guinea	Papua New Guinea	Papua New Guinea	3
4.978	63.5998048780488	Philippines	Philippines	Philippines	3
6.483	58.5519756097561	Pakistan	Pakistan	Pakistan	3
2.336	71.1024390243903	Poland	Poland	Poland	3
2.49	73.9843658536585	Puerto Rico	Puerto Rico	Puerto Rico	3
2.19	72.4146341463415	Portugal	Portugal	Portugal	3
5.191	66.9393902439025	Paraguay	Paraguay	Paraguay	3
5.502	71.9208780487805	Qatar	Qatar	Qatar	3
2.166	69.5317073170732	Romania	Romania	Romania	3
2.04	67.8060975609756	Russian Federation	Russian Federation	Russian Federation	3
8.284	49.6565365853659	Rwanda	Rwanda	Rwanda	3
7.05	63.9366341463415	Saudi Arabia	Saudi Arabia	Saudi Arabia	3
6.525	58.678756097561	Solomon Islands	Solomon Islands	Solomon Islands	3
3.5	68.6829268292683	Seychelles	Seychelles	Seychelles	3
6.361	50.0251463414634	Sudan	Sudan	Sudan	3
1.65	76.3273170731707	Sweden	Sweden	Sweden	3
1.706	72.1640487804878	Singapore	Singapore	Singapore	3
1.93	71.0536585365854	Slovenia	Slovenia	Slovenia	3
2.28	70.6890243902439	Slovak Republic	Slovak Republic	Slovak Republic	3
5.524	43.8061463414634	Sierra Leone	Sierra Leone	Sierra Leone	3
7.323	48.9146829268293	Senegal	Senegal	Senegal	3
6.749	43.8604878048781	Somalia	Somalia	Somalia	3
3.708	66.4660975609756	Suriname	Suriname	Suriname	3
6.271	59.7721951219512	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	3
4.87	57.3509268292683	El Salvador	El Salvador	El Salvador	3
6.843	67.2638048780488	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	3
6.573	55.5703902439024	Swaziland	Swaziland	Swaziland	3
6.756	48.8228048780488	Chad	Chad	Chad	3
7.097	50.3641951219512	Togo	Togo	Togo	3
3.024	67.2846341463415	Thailand	Thailand	Thailand	3
5.561	62.6693170731707	Tajikistan	Tajikistan	Tajikistan	3
5.13	38.0129024390244	Timor-Leste	Timor-Leste	Timor-Leste	3
4.836	61.4511707317073	Turkmenistan	Turkmenistan	Turkmenistan	3
5.018	63.7185609756097	Tunisia	Tunisia	Tunisia	3
5.475	68.0494878048781	Tonga	Tonga	Tonga	3
4.188	58.0432682926829	Turkey	Turkey	Turkey	3
3.253	67.7046097560976	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	3
6.58	50.8036829268293	Tanzania	Tanzania	Tanzania	3
1.98	69.0993658536586	Ukraine	Ukraine	Ukraine	3
7.101	49.935512195122	Uganda	Uganda	Uganda	3
1.8275	74.3609756097561	United States	United States	United States	3
2.614	70.7925853658537	Uruguay	Uruguay	Uruguay	3
4.829	65.915756097561	Uzbekistan	Uzbekistan	Uzbekistan	3
3.692	66.5121951219512	St. Vincent and the Grenadines	St. Vincent and the Grenadines	St. Vincent and the Grenadines	3
4.014	68.8403170731708	Venezuela, RB	Venezuela, RB	Venezuela, RB	3
3.74	72.0364634146342	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Virgin Islands (U.S.)	3
5.004	58.1200243902439	Vietnam	Vietnam	Vietnam	3
5.43	59.6648780487805	Vanuatu	Vanuatu	Vanuatu	3
4.816	60.966512195122	Samoa	Samoa	Samoa	3
9.185	50.8928780487805	Yemen, Rep.	Yemen, Rep.	Yemen, Rep.	3
4.602	58.165756097561	South Africa	South Africa	South Africa	3
7.015	51.9751463414634	Zambia	Zambia	Zambia	3
6.811	60.2358780487805	Zimbabwe	Zimbabwe	Zimbabwe	3
