ymin	ymax	clickSelects	PANEL
1959.5	1960.5	1960	1
1960.5	1961.5	1961	1
1961.5	1962.5	1962	1
1962.5	1963.5	1963	1
1963.5	1964.5	1964	1
1964.5	1965.5	1965	1
1965.5	1966.5	1966	1
1966.5	1967.5	1967	1
1967.5	1968.5	1968	1
1968.5	1969.5	1969	1
1969.5	1970.5	1970	1
1970.5	1971.5	1971	1
1971.5	1972.5	1972	1
1972.5	1973.5	1973	1
1973.5	1974.5	1974	1
1974.5	1975.5	1975	1
1975.5	1976.5	1976	1
1976.5	1977.5	1977	1
1977.5	1978.5	1978	1
1978.5	1979.5	1979	1
1979.5	1980.5	1980	1
1980.5	1981.5	1981	1
1981.5	1982.5	1982	1
1982.5	1983.5	1983	1
1983.5	1984.5	1984	1
1984.5	1985.5	1985	1
1985.5	1986.5	1986	1
1986.5	1987.5	1987	1
1987.5	1988.5	1988	1
1988.5	1989.5	1989	1
1989.5	1990.5	1990	1
1990.5	1991.5	1991	1
1991.5	1992.5	1992	1
1992.5	1993.5	1993	1
1993.5	1994.5	1994	1
1994.5	1995.5	1995	1
1995.5	1996.5	1996	1
1996.5	1997.5	1997	1
1997.5	1998.5	1998	1
1998.5	1999.5	1999	1
1999.5	2000.5	2000	1
2000.5	2001.5	2001	1
2001.5	2002.5	2002	1
2002.5	2003.5	2003	1
2003.5	2004.5	2004	1
2004.5	2005.5	2005	1
2005.5	2006.5	2006	1
2006.5	2007.5	2007	1
2007.5	2008.5	2008	1
2008.5	2009.5	2009	1
2009.5	2010.5	2010	1
2010.5	2011.5	2011	1
